2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-media-gallery-integration                          100.4.2    Magento module responsible for integration of en...
magento/module-media-gallery-metadata                             100.4.1    Magento module responsible for images metadata p...
magento/module-media-gallery-metadata-api                         100.4.0    Magento module responsible for media gallery met...
magento/module-media-gallery-renditions                           100.4.1-p1 Magento module that implements height and width ...
magento/module-media-gallery-renditions-api                       100.4.0    Magento module that is responsible for the API i...
magento/module-media-gallery-synchronization                      100.4.2    Magento module provides implementation of the me...
magento/module-media-gallery-synchronization-api                  100.4.1    Magento module responsible for the media gallery...
magento/module-media-gallery-synchronization-metadata             100.4.0    Magento module responsible for images metadata s...
magento/module-media-gallery-ui                                   100.4.2-p1 Magento module responsible for the media gallery...
magento/module-media-gallery-ui-api                               100.4.1    Magento module responsible for the media gallery...
magento/module-media-storage                                      100.4.2-p1 N/A
magento/module-message-queue                                      100.4.3    N/A
magento/module-msrp                                               100.4.2    N/A
magento/module-msrp-configurable-product                          100.4.1    N/A
magento/module-msrp-grouped-product                               100.4.1    N/A
magento/module-multishipping                                      100.4.3    N/A
magento/module-mysql-mq                                           100.4.1    N/A
magento/module-new-relic-reporting                                100.4.1    N/A
magento/module-newsletter                                         100.4.3-p2 N/A
magento/module-newsletter-graph-ql                                100.4.0    Provides GraphQl functionality for the newslette...
magento/module-offline-payments                                   100.4.2    N/A
magento/module-offline-shipping                                   100.4.2    N/A
magento/module-page-builder                                       2.2.1-p3   Page Builder module
magento/module-page-builder-admin-analytics                       1.1.1-p3   Page Builder Admin Analytics module
magento/module-page-builder-analytics                             1.6.1-p3   Page Builder Analytics module
magento/module-page-cache                                         100.4.3    N/A
magento/module-payment                                            100.4.3    N/A
magento/module-paypal                                             101.0.3-p1 N/A
magento/module-paypal-captcha                                     100.4.1    Provides CAPTCHA validation for PayPal Payflow Pro
magento/module-paypal-graph-ql                                    100.4.1    GraphQl support for Paypal
magento/module-persistent                                         100.4.3    N/A
magento/module-product-alert                                      100.4.2    N/A
magento/module-product-video                                      100.4.3-p3 Add Video to Products
magento/module-quote                                              101.2.3-p3 N/A
magento/module-quote-analytics                                    100.4.3    N/A
magento/module-quote-bundle-options                               100.4.0    Magento module provides data provider for creati...
magento/module-quote-configurable-options                         100.4.0    Magento module provides data provider for creati...
magento/module-quote-downloadable-links                           100.4.0    Magento module provides data provider for creati...
magento/module-quote-graph-ql                                     100.4.3    N/A
